PID,DID,Conference,IsTopTier,Paper,Code Form,Domain,Analysis,Analysis Artifact,Artifact class,Transformation,Artifact form,Canonicalization,Canonicalization_Method,Split basis,Token Unit,Tokenization_Technique,Encoding,Encoding_NAs,Encoding examples,Embedding_Method,Embedding examples,Learning_Category,Learning_Subcategory,Learning_Trainable,for claude,Learning_Model,Learning_Model(Old),Inference_Category,Inference_Subcategory,Inference_Output,Evaluation_Metric
P001,D26,AAAI,TRUE,Can LLMs Obfuscate Code? A Systematic Analysis of Large Language Models into Assembly Code Obfuscation,Assembly,Code obfuscation generation,Static > Disassembly,Assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,Element removal,N/A,data-driven,Pretrained-LLM subword,Built-in llm tokenizer,Sparse,N/A,N/A,Context-dependent,GPT-4o-mini / DeepSeekCoder-v2 (236B MoE) / Codestral (22B) / CodeLLAMA (34B) / LLAMA 3.1 (405B) / CodeGemma (7B) | CodeT5 (1.2B),LLM-based | Generative,LLM-based | Generative,No | Yes,,LLM / encoder-decoder Transformer,LLM zero-shot prompting + in-context learning (1/3/5/10/15 shots) with GPT-4o-mini / DeepSeekCoder-v2 / Codestral / CodeLLAMA-34B / LLAMA 3.1 (405B) / CodeGemma; CodeT5 trainable encoder-decoder,Discovery,Code-variant discovery,Obfuscated assembly code,Delta Entropy; Cosine similarity
P002,D02,NDSS,TRUE,"XDA: Accurate, Robust Disassembly with Transfer Learning",Byte,Code boundary (instruction/function) detection,Triage > Structural analysis,Byte,Code representations,Code representation -> Sequence,Sequence,N/A,N/A,Atomic units,Byte,Byte-level,Sparse,Sparse,One-hot,Context-dependent,BERT-based,Discriminative,Detection,Yes,BERT-based,BERT-based + MLP classifier,Transformer encoder + MLP classifier,Detection,Location-level detection,Per-byte/per-instruction boundary label,Precision; Recall; F1
P003,D02,USENIX Security,TRUE,DeepDi: Learning a Relational Graph Convolutional Network Model on Instructions for Fast and Accurate Disassembly,Assembly,Code boundary (instruction/function) detection,Static > Disassembly; Static > Control-flow analysis,instruction format fields | IFG,Code representations | Graph representations,Code representations -> Numeric descriptor | Graph representation -> Graph ,Numeric descriptor | Graph,Feature value removal  | Node attribute mapping; Edge attribute mapping,Numeric descriptor > Feature value removal | Graph > Node attribute mapping; Edge attribute mapping; Node feature mapping,N/A | N/A,N/A | N/A,N/A | N/A,Dense | Dense,N/A | N/A,N/A |  Node feature mapping,Context-dependent | Context-dependent,RNN | RGCN,Discriminative,Detection,Yes,RNN → R-GCN,(RNN → R-GCN) + MLP classifer,DeepDi joint model: vanilla RNN instruction-tuple encoder + R-GCN over IFG + MLP for instruction-validity head; downstream classifier identifies function entry-points,Detection,Location-level detection,Per-instruction boundary label + per-function entry label,Precision; Recall; F1
P004,D02,USENIX Security,TRUE,Tady: A Neural Disassembler without Structural Constraint Violations,Byte,Code boundary (instruction/function) detection,Static > Disassembly | Static > Control-flow analysis,Byte | CFG,Code representations | Graph representations,Code representation -> Sequence | Graph representation -> Sequence,Sequence | Sequence,N/A | N/A ,Byte format replacement,Atomic units | N/A,Byte | N/A,Byte-level | N/A | N/A,Sparse | Dense,N/A,N/A  | N/A,Context-dependent | Context-dependent,RNN | Transformer-based,Discriminative,Detection,Yes,RNN  → Transformer-based,(RNN -> Transformer-based) + MLP classifier + PDT-based post-processing,"RNN instruction encoder + Hybrid Transformer (Masked Sliding Window Attention, Global Message Passing) + classification head",Detection,Location-level detection,Per-byte/per-instruction boundary label,Precision; Recall; F1
P005,D02,USENIX Security,TRUE,Recognizing Functions in Binaries with Neural Networks,Byte,Code boundary (instruction/function) detection,Triage > Structural analysis,Byte,Code representations,Code representation -> Sequence,Sequence,N/A,N/A,Atomic units,Byte,Byte-level,Sparse,Sparse,One-hot,Context-dependent,BiRNN,Discriminative,Detection,Yes,BiRNN,BiRNN + MLP classifier,Bidirectional RNN + MLP classifier,Detection,Location-level detection,Per-byte/per-instruction boundary label,Precision; Recall; F1
P006,D02,ICSME,FALSE,Semantics-Aware Machine Learning for Function Recognition in Binary Code,Assembly,Code boundary (instruction/function) detection,Static > Symbolic execution,Symbolic execution output per basic block,Code representation; Logical expressions,Code representation; Logical expressions -> Numeric descriptor,Numeric descriptor,N/A,N/A,N/A,N/A,N/A,,Dense,Handcrafted 19-d numeric vector (8 lexical × 2 + 3 stack boolean),N/A,N/A,Discriminative,Classification,Yes,,Linear SVM + AdaBoost + Gradient Boosting ensemble,Ensemble of LinearSVC + AdaBoost + GradientBoosting,Detection,Location-level detection,Function entry-point label,Precision; Recall; F1
P007,D02,ESEC/FSE,TRUE,FunProbe: Probing Functions from Binary Code through Probabilistic Analysis,Assembly,Code boundary (instruction/function) detection,Triage > Structural analysis; Static> Disassembly; Static > Call-site analysis,Header; sections; imports; assmebly; ICFG,Binary facts; Binary facts; Binary facts; Code representation; Graph representation,Binary facts; Binary facts; Binary facts; Code representation; Graph representation-> Graph,Graph,structural transformation,Relevant-subgraph filtering,N/A,N/A,N/A | N/A,Dense,N/A,Edge feature mapping,N/A,N/A,Rule-based reasoning,Probabilistic reasoning,No,N/A,Bayesian Network + belief propagation,Bayesian Network with belief propagation; bogus dependency pruning preprocessing,Recovery,Probabilistic structural recovery,Per-address P(function-start) posterior,Precision; Recall; F1
P008,D03,S&P,TRUE,Neutaint: Efficient Dynamic Taint Analysis with Neural Networks,Fetched instruction,Data flow (taint) reconstruction,Security Testing > Fuzzing; Dynamic Analysis > Behavioral monitoring,Mutated input; source-sink record,Test sets; Binary facts,Test sets; Binary facts -> Numeric descriptor,Numeric descriptor,Feature value scaling,Numeric value scaling,N/A,N/A,N/A,Dense,Dense,N/A,N/A,N/A,Discriminative,Detection,Yes,N/A,FC layer,3-layer FC neural network,Reconstruction,Graph / dependency edge prediction,Saliency-based input-byte -> sink dependency,hot byte accuracy; FPR
P009,D03,ASPLOS,FALSE,FITS: Inferring Intermediate Taint Sources for Effective Vulnerability Analysis of IoT Device Firmware,IR,Data flow (taint) reconstruction,Static > Inter-procedural control flow analysis; Static > Intra-procedural control flow analysis; Static > Data-flow analysis,Function Behavioral Feature Vector (BFV),Graph representations; Graph representations; Binary facts; Numerical statistics; Numerical statistics,Graph representations; Graph representations; Binary facts; Numerical statistics; Numerical statistics -> Numeric descriptor,Numeric descriptor,Feature value scaling,N/A,N/A,N/A,N/A,,Dense,Handcrafted 11-d Behavioral Feature Vector (6 structural + 5 flow),Context-independent,N/A,Rule-based reasoning,Deterministic reasoning,No,,DBSCAN,DBSCAN + cosine distance scoring,Reconstruction,Graph / dependency edge prediction,Top-3 intermediate taint source candidates,Top-N precision
P010,D03,TOSEM,FALSE,LLM-Powered Static Binary Taint Analysis,Decompiled code,Data flow (taint) reconstruction,Static > Decompilation | Static > Inter-procedural control flow analysis | Static > Intra-procedural control flow analysis | Triage > Structural analysis | Triage > Structural analysis,Decompiled function bodies | Call graph | CFG | import table | metadata,Code representation; Graph representation; Graph representations; Binary facts; Binary facts,Code representation; Graph representation; Graph representations; Binary facts; Binary facts -> Sequence,Sequence,Element removal | Subgraph extraction | N/A | N/A | N/A,Code slicing (backward data dependency),data-driven,Pretrained-LLM subword,Built-in llm tokenizer | N/A | N/A,,Dense,Inherited LLM tokenizer,Context-dependent,GPT-4.0 Transformer,LLM-based,LLM-based,No,,LLM / decoder-only Transformer,GPT-4.0 with multi-step Prompt Sequences (PSs); CWE-aware prompt templates,Reconstruction,Graph / dependency edge prediction,CWE classification per source/sink chain,Accuracy; Precision; Recall; F1 score
P011,D03,NDSS,TRUE,One Engine To Serve ’em All: Inferring Taint Rules Without Architectural Semantics,Fetched instruction,Data flow (taint) reconstruction,Dynamic > Forced execution; Dynamic > Dynamic taint analysis,runtime-value state; taint map,Binary facts; snapshot,Binary facts; snapshot-> Numeric descriptor,Numeric descriptor,N/A,N/A,N/A,N/A,N/A,Dense,Sparse,N/A,N/A,N/A,Rule-based reasoning,Deterministic reasoning,No,N/A,ESPRESSO Boolean minimizer,Single-bit-flip rule inference (TaintProp Algorithm 1) + ESPRESSO greedy boolean DNF minimization,Reconstruction,Graph / dependency edge prediction,Boolean taint propagation rules in DNF,instruction coverage; correctness
P012,D03,ESEC/FSE,TRUE,NeuDep: Neural Binary Memory Dependence Analysis,"Fetched instruction, Assembly",Data flow (taint) reconstruction,Dynamic > Forced execution,instruction trace | instruction address| runtime value trace,Text streams | Binary facts | Text streams ,Text streams  -> Sequence | Binary facts -> Sequence | Text streams -> Sequence,Sequence | Sequence | Sequence,Filtering by removal | Byte value scaling | Byte value scaling,element replacement | Byte value scaling | Byte value scaling,Syntactic units  | Atomic units | Atomic units |,Element | Byte | Byte,element | Byte-level | Byte-level,Sparse | Dense | Dense,N/A,N/A | N/A | N/A ,Context-dependent | Context-independent | Context-independent,Transformer-based | CNN | CNN,Discriminative,Detection,Yes,Transformer-based || CNN || CNN,(Transformer-based || CNN || CNN) + MLP classifier,Joint encoder (l self-attention on instructions + sigmoid-gated multimodal fusion + L-l self-attention) + MLP_dep prediction head,Reconstruction,Graph / dependency edge prediction,Per-instruction memory-dependence label,Detect; Miss; FP
P013,D03,USENIX Security,TRUE,DEEPVSA: Facilitating Value-set Analysis with Deep Learning for Postmortem Program Analysis,Fetched instruction,Data flow (taint) reconstruction,Dynamic > Execution tracing,instruction trace,Text streams,Text streams -> Sequence,Sequence,Byte value scaling,Byte value scaling,Atomic units,Byte,Byte-level,Sparse,Sparse,One-hot,Context-dependent,Hierachical BiLSTM,Discriminative,Classification,Yes,Hierachical BiLSTM,Hierachical BiLSTM + softmax classifier,Bidirectional hierarchical LSTM,Reconstruction,Graph / dependency edge prediction,Per-byte memory region label (global/heap/stack/other),Precision; Recall; F1 score
P014,D04,TDSC,FALSE,CALLEE: Recovering Call Graphs for Binaries With Transfer and Contrastive Learning,Assembly,Indirect call target reconstruction,Static > Inter-procedural control flow analysis | Static > Inter-procedural control flow analysis,Callsite assembly slices | Callee assembly slices,Graph representations; Graph representations,Graph representations; Graph representations -> Sequence,Sequence,Element replacement | Element replacement,Assembly instruction element replacement,data-driven,Subword (BPE),Subword (BPE) | Subword (BPE),,Dense,RoFormer-jTrans transformer embedding | RoFormer-jTrans transformer embedding,Context-dependent,RoFormer-jTrans Transformer,Discriminative,Detection,Yes,,jTrans / Transformer + MLP triplet network,RoFormer-jTrans Transformer (Subword (BPE) + Instruction-Rebase tokenization) + MLP Triplet Network with cosine-distance triplet loss; two-stage transfer learning (dLearner -> iLearner),Reconstruction,Graph / dependency edge prediction,Resolved indirect-call targets,Precision; Recall; F1
P015,D05,FSE,TRUE,BinGo: Cross-Architecture Cross-OS Binary Search,REIL,Code similarity detection,Static > Disassembly;  Static > Call-site analysis; Static > IR lifting; Security Testing > Symbolic execution,Assembly; ICFG; IR; symbolic expression; pre/post-state values,Code representations; Graph representations; Code representations;  Logical Expressions; Binary facts,Code representations; Graph representations; Code representations;  Logical Expressions; Binary facts -> Numeric descriptor,Numeric descriptor,N/A,N/A,N/A,N/A,N/A,Sparse,N/A,N/A,N/A,N/A,Rule-based reasoning,Deterministic reasoning,No,N/A,Jaccard containment of function models,Multi-stage matching: selective inlining + UCSE partial traces + abstracted signature sets + Jaccard containment similarity,Detection,Sample-level detection,Jaccard similarity score / Z3 matches,Percentage ranked #1; Top-K match rate; matching accuracy
P016,D05,AAAI,TRUE,Order Matters: Semantic-Aware Neural Networks for Binary Code Similarity Detection,Assembly,Code similarity detection,Static > Disassembly | Static >control-flow analys,assembly | CFG,Code representations | Graph representation,Code representation -> Sequence | Graph representation -> Graph,Sequence | Grpah,N/A | N/A,N/A | N/A,Data-driven | N/A,BPE | N/A,N/A | N/A,Sparse | Dense,Sparse | Dense,N/A | adjacency-matrix,Context-dependent | Context-dependent,BERT-based | ResNet,Discriminative,Detection,Yes,BERT-based MPNN -> ResNet,(BERT-based MPNN -> ResNet) + Siamese MLP head,"BERT (4 tasks: MLM, ANP, BIG, GC) + MPNN with GRU update + 11-layer ResNet on CFG adjacency matrix + concat MLP; siamese cosine for BCSD",Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Rank1; MRR
P017,D05,NeurIPS,TRUE,CodeCMR: Cross-Modal Retrieval For Function-Level Binary Source Code Matching,Assembly,Code similarity detection,Static > Disassembly | Static > control flow analysis | Triage > Binary profiling | Triage > Binary profiling,Assembly | CFG | Strings | constant,Code representations | Graph representation | String literals | Binary Facts,Code representaion -> Sequence | Graph representation -> Graph | String literals -> Sequence | Binary facts -> Sequence,Sequence | Graph | Sequence | Sequence ,N/A | N/A | N/A  | N/A,N/A | N/A | N/A | N/A,N/A | N/A | Atomic units | N/A,N/A | N/A | Character | N/A,Character-level | N/A | Character-level | Token-per-integer,Sparse | Dense | Sparse | Sparse,N/A | N/A,N/A | Node feature mapping | N/A | N/A,Context-dependent | Context-dependent | Context-dependent | Context-dependent,Hierachical BiLSTM | GGNN | Hierarchical-LSTM | Integer-LSTM,Discriminative,Detection,Yes,(Hierachical BiLSTM -> GGNN) || Hierachical-LSTM || Integer-LSTM,(HBMP-> GGNN) || Hierachical-LSTM || Integer-LSTM,Cross-modal dual encoder (DPCNN+HBMP+GGNN+LSTMs),Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Recall@1; Recall@10
P018,D05,DSN,FALSE,Asteria: Deep Learning-based AST-Encoding for Cross-platform Binary Code Similarity Detection,Decompiled code,Code similarity detection,Static > Decompilation,ASTs,Graph representations,Graph representation -> Graph,Graph,Node label mapping; Subgraph extraction,Graph node-attribute editing; Relevant-subgraph filtering,N/A,N/A,N/A,,Sparse,Node-type ID encoding (Table I) + 16-dim nn.Embedding,Context-dependent,Binary Tree-LSTM,Discriminative,Detection,Yes,,Siamese Tree-LSTM + softmax head,"Binary Tree-LSTM (Siamese, shared params) + softmax similarity head (BCELoss, AdaGrad); exp-decay calibration by callee-count difference",Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,AUC; ROC; TPR; FPR
